County_name,county_fips,McCount
Jefferson,12065,1
Lake,12069,12
Lee,12071,33
Leon,12073,17
Levy,12075,2
Madison,12079,2
Manatee,12081,15
Marion,12083,16
Martin,12085,8
Miami-Dade,12086,98
Monroe,12087,3
Nassau,12089,4
Okaloosa,12091,12
Okeechobee,12093,2
Orange,12095,66
Osceola,12097,14
Palm Beach,12099,49
Pasco,12101,16
Pinellas,12103,41
Polk,12105,29
Putnam,12107,3
St. Johns,12109,10
St. Lucie,12111,15
Santa Rosa,12113,7
Sarasota,12115,14
Seminole,12117,20
Sumter,12119,4
Suwannee,12121,3
Taylor,12123,1
Volusia,12127,23
Wakulla,12129,1
Walton,12131,2
Washington,12133,1
Appling,13001,1
Bacon,13005,1
Baldwin,13009,3
Banks,13011,1
Barrow,13013,3
Bartow,13015,8
Ben Hill,13017,1
Berrien,13019,1
Bibb,13021,10
Bleckley,13023,1
Bryan,13029,4
Bulloch,13031,3
Burke,13033,1
Butts,13035,2
Camden,13039,2
Candler,13043,1
Carroll,13045,6
Catoosa,13047,3
Charlton,13049,1
Chatham,13051,17
Chattooga,13055,1
Cherokee,13057,10
Clarke,13059,5
Clayton,13063,16
Cobb,13067,34
Coffee,13069,1
Colquitt,13071,1
Columbia,13073,8
Cook,13075,1
Coweta,13077,6
Crisp,13081,1
Dade,13083,1
Dawson,13085,2
Decatur,13087,1
DeKalb,13089,30
Dodge,13091,1
Dooly,13093,1
Dougherty,13095,4
Douglas,13097,8
Early,13099,1
Effingham,13103,1
Elbert,13105,1
Emanuel,13107,1
Evans,13109,1
Fannin,13111,1
Fayette,13113,6
Floyd,13115,3
Forsyth,13117,10
Franklin,13119,2
Fulton,13121,43
Gilmer,13123,1
Glynn,13127,5
Gordon,13129,1
Grady,13131,1
Greene,13133,1
Gwinnett,13135,33
Habersham,13137,2
Hall,13139,6
Haralson,13143,1
Hart,13147,1
Henry,13151,10
Houston,13153,7
Jackson,13157,3
Jeff Davis,13161,1
Jefferson,13163,2
Jones,13169,1
Lamar,13171,1
Lanier,13173,1
Laurens,13175,2
Lee,13177,1
Liberty,13179,4
Lowndes,13185,7
Lumpkin,13187,1
McDuffie,13189,1
McIntosh,13191,1
Macon,13193,1
Meriwether,13199,1
Mitchell,13205,1
Monroe,13207,1
Morgan,13211,1
Murray,13213,1
Muscogee,13215,11
Newton,13217,5
Oconee,13219,2
Paulding,13223,4
Peach,13225,2
Pickens,13227,1
Pierce,13229,1
Polk,13233,3
Pulaski,13235,1
Putnam,13237,2
Rabun,13241,1
Richmond,13245,11
Rockdale,13247,4
Screven,13251,1
Spalding,13255,4
Stephens,13257,1
Sumter,13261,2
Tattnall,13267,1
Telfair,13271,1
Terrell,13273,1
Thomas,13275,1
Tift,13277,3
Toombs,13279,2
Towns,13281,1
Troup,13285,5
Turner,13287,1
Union,13291,1
Upson,13293,1
Walker,13295,2
Walton,13297,3
Ware,13299,2
Washington,13303,1
Wayne,13305,1
White,13311,1
Whitfield,13313,6
Wilkes,13317,1
Worth,13321,1
Hawaii,15001,9
Honolulu,15003,51
Kauai,15007,5
Maui,15009,10
Ada,16001,22
Bannock,16005,3
Bingham,16011,1
Blaine,16013,1
Bonner,16017,1
Bonneville,16019,6
Canyon,16027,7
Elmore,16039,2
Gem,16045,1
Gooding,16047,1
Jerome,16053,1
Kootenai,16055,5
Latah,16057,2
Madison,16065,1
Minidoka,16067,1
Nez Perce,16069,2
Shoshone,16079,1
Twin Falls,16083,4
Washington,16087,1
Adams,17001,2
Bond,17005,1
Boone,17007,3
Brown,17009,1
Bureau,17011,2
Carroll,17015,1
Cass,17017,1
Champaign,17019,10
Christian,17021,2
Clark,17023,2
Clay,17025,1
Clinton,17027,3
Coles,17029,3
Cook,17031,238
Crawford,17033,1
DeKalb,17037,5
De Witt,17039,1
Douglas,17041,2
DuPage,17043,48
Edgar,17045,1
Edwards,17047,1
Effingham,17049,4
Fayette,17051,1
Ford,17053,1
Franklin,17055,2
Fulton,17057,2
Grundy,17063,5
Hamilton,17065,1
Henry,17073,2
Iroquois,17075,2
Jackson,17077,6
Jefferson,17081,3
Jersey,17083,1
Jo Daviess,17085,2
Johnson,17087,1
Kane,17089,25
Kankakee,17091,6
Kendall,17093,6
Knox,17095,3
Lake,17097,45
LaSalle,17099,9
Lawrence,17101,1
Lee,17103,1
Livingston,17105,1
Logan,17107,1
McDonough,17109,2
McHenry,17111,17
McLean,17113,12
Macon,17115,7
Macoupin,17117,1
Madison,17119,15
Marion,17121,2
Mason,17125,1
Massac,17127,1
Mercer,17131,1
Monroe,17133,2
Montgomery,17135,2
Morgan,17137,1
Moultrie,17139,1
Ogle,17141,4
Peoria,17143,13
Perry,17145,2
Piatt,17147,1
Pike,17149,1
Randolph,17157,3
Richland,17159,1
Rock Island,17161,7
St. Clair,17163,17
Saline,17165,2
Sangamon,17167,14
Shelby,17173,1
Stephenson,17177,2
Tazewell,17179,9
Union,17181,1
Vermilion,17183,5
Wabash,17185,1
Warren,17187,1
Washington,17189,1
Wayne,17191,1
White,17193,1
Whiteside,17195,3
Will,17197,34
Williamson,17199,5
Winnebago,17201,20
Woodford,17203,2
Adams,18001,2
Allen,18003,18
Bartholomew,18005,4
Blackford,18009,1
Boone,18011,4
Brown,18013,1
Carroll,18015,1
Cass,18017,2
Clark,18019,5
Clay,18021,2
Clinton,18023,1
Daviess,18027,1
Dearborn,18029,4
Decatur,18031,2
DeKalb,18033,2
Delaware,18035,7
Dubois,18037,3
Elkhart,18039,11
Fayette,18041,1
Floyd,18043,5
Fountain,18045,1
Franklin,18047,2
Fulton,18049,1
Gibson,18051,1
Grant,18053,4
Greene,18055,1
Hamilton,18057,12
Hancock,18059,3
Harrison,18061,1
Hendricks,18063,10
Henry,18065,1
Howard,18067,6
Huntington,18069,2
Jackson,18071,3
Jasper,18073,4
Jay,18075,1
Jefferson,18077,2
Jennings,18079,1
Johnson,18081,8
Knox,18083,3
Kosciusko,18085,3
LaGrange,18087,1
Lake,18089,27
LaPorte,18091,8
Lawrence,18093,2
Madison,18095,7
Marion,18097,48
Marshall,18099,5
Martin,18101,1
Miami,18103,2
Monroe,18105,5
Montgomery,18107,2
Morgan,18109,3
Newton,18111,1
Noble,18113,3
Orange,18117,1
Owen,18119,1
Perry,18123,1
Pike,18125,1
Porter,18127,9
Posey,18129,1
Pulaski,18131,1
Putnam,18133,2
Randolph,18135,2
Ripley,18137,1
Rush,18139,1
St. Joseph,18141,14
Scott,18143,1
Shelby,18145,4
Starke,18149,1
Steuben,18151,5
Sullivan,18153,1
Tippecanoe,18157,9
Tipton,18159,1
Vanderburgh,18163,13
Vermillion,18165,1
Vigo,18167,5
Wabash,18169,2
Warrick,18173,2
Washington,18175,1
Wayne,18177,5
Wells,18179,1
White,18181,1
Whitley,18183,2
Adair,19001,1
Appanoose,19007,1
Benton,19011,1
Black Hawk,19013,7
Boone,19015,1
Bremer,19017,1
Buchanan,19019,1
Buena Vista,19021,1
Carroll,19027,1
Cass,19029,1
Cedar,19031,1
Cerro Gordo,19033,3
Cherokee,19035,1
Chickasaw,19037,1
Clarke,19039,1
Clay,19041,1
Clinton,19045,3
Crawford,19047,1
Dallas,19049,3
Des Moines,19057,2
Dickinson,19059,1
Dubuque,19061,5
Emmet,19063,1
Fayette,19065,1
Floyd,19067,1
Franklin,19069,1
Fremont,19071,1
Hamilton,19079,1
Hardin,19083,1
Harrison,19085,1
Henry,19087,1
Iowa,19095,1
Jackson,19097,1
Jasper,19099,3
Jefferson,19101,1
Johnson,19103,6
Jones,19105,1
Kossuth,19109,1
Lee,19111,2
Linn,19113,9
Mahaska,19123,1
Marion,19125,2
Marshall,19127,1
Mills,19129,1
Monona,19133,1
Montgomery,19137,1
Muscatine,19139,1
O'Brien,19141,1
Page,19145,1
Palo Alto,19147,1
Plymouth,19149,1
Polk,19153,25
Pottawattamie,19155,4
Poweshiek,19157,1
Scott,19163,11
Sioux,19167,1
Story,19169,5
Union,19175,1
Wapello,19179,3
Warren,19181,2
Washington,19183,1
Webster,19187,2
Winneshiek,19191,2
Woodbury,19193,7
Allen,20001,1
Atchison,20005,1
Barton,20009,1
Bourbon,20011,1
Brown,20013,1
Butler,20015,4
Cherokee,20021,2
Cloud,20029,1
Cowley,20035,2
Crawford,20037,2
Dickinson,20041,1
Douglas,20045,4
Ellis,20051,2
Finney,20055,2
Ford,20057,1
Franklin,20059,1
Geary,20061,2
Grant,20067,1
Harper,20077,1
Harvey,20079,1
Johnson,20091,31
Kingman,20095,1
Labette,20099,1
Leavenworth,20103,2
Lyon,20111,3
McPherson,20113,1
Miami,20121,2
Montgomery,20125,2
Nemaha,20131,1
Neosho,20133,1
Norton,20137,1
Pottawatomie,20149,1
Pratt,20151,1
Reno,20155,4
Riley,20161,2
Russell,20167,1
Saline,20169,4
Sedgwick,20173,30
Seward,20175,2
Shawnee,20177,10
Sherman,20181,1
Stevens,20189,1
Sumner,20191,2
Thomas,20193,1
Trego,20195,1
Wyandotte,20209,9
Adair,21001,1
Allen,21003,1
Anderson,21005,2
Barren,21009,3
Bath,21011,1
Bell,21013,3
Boone,21015,9
Bourbon,21017,1
Boyd,21019,6
Boyle,21021,2
Breathitt,21025,1
Breckinridge,21027,1
Bullitt,21029,5
Butler,21031,1
Caldwell,21033,1
Calloway,21035,1
Campbell,21037,4
Carroll,21041,1
Carter,21043,2
Casey,21045,1
Christian,21047,4
Clark,21049,1
Clay,21051,1
Clinton,21053,1
Crittenden,21055,1
Daviess,21059,5
Elliott,21063,1
Estill,21065,1
Fayette,21067,15
Fleming,21069,1
Floyd,21071,3
Franklin,21073,2
Fulton,21075,1
Gallatin,21077,1
Garrard,21079,1
Grant,21081,2
Graves,21083,1
Grayson,21085,2
Green,21087,1
Greenup,21089,2
Hardin,21093,9
Harlan,21095,1
Harrison,21097,1
Hart,21099,2
Henderson,21101,2
Henry,21103,1
Hopkins,21107,1
Jefferson,21111,46
Jessamine,21113,3
Johnson,21115,2
Kenton,21117,7
Knox,21121,2
Larue,21123,1
Laurel,21125,4
Lawrence,21127,1
Letcher,21133,1
Lewis,21135,1
Lincoln,21137,1
Logan,21141,1
Lyon,21143,1
McCracken,21145,4
McCreary,21147,1
Madison,21151,6
Magoffin,21153,1
Marion,21155,1
Marshall,21157,3
Martin,21159,1
Mason,21161,1
Meade,21163,1
Mercer,21167,1
Metcalfe,21169,1
Monroe,21171,1
Montgomery,21173,2
Morgan,21175,1
Muhlenberg,21177,2
Nelson,21179,1
Ohio,21183,1
Oldham,21185,2
Owen,21187,1
Pendleton,21191,1
Perry,21193,2
Pike,21195,4
Powell,21197,1
Pulaski,21199,2
Rockcastle,21203,1
Rowan,21205,2
Russell,21207,1
Scott,21209,3
Shelby,21211,3
Simpson,21213,2
Spencer,21215,1
Taylor,21217,1
Trigg,21221,1
Union,21225,1
Warren,21227,8
Washington,21229,1
Wayne,21231,1
Webster,21233,1
Whitley,21235,2
Woodford,21239,1
Acadia,22001,3
Allen,22003,2
Ascension,22005,7
Avoyelles,22009,2
Beauregard,22011,1
Bienville,22013,1
Bossier,22015,6
Caddo,22017,13
Calcasieu,22019,10
Caldwell,22021,1
Claiborne,22027,1
Concordia,22029,1
De Soto,22031,1
East Baton Rouge,22033,30
East Feliciana,22037,1
Evangeline,22039,1
Franklin,22041,1
Iberia,22045,4
Iberville,22047,1
Jackson,22049,1
Jefferson,22051,26
Jefferson Davis,22053,1
Lafayette,22055,14
Lafourche,22057,6
LaSalle,22059,1
Lincoln,22061,2
Livingston,22063,5
Madison,22065,1
Morehouse,22067,1
Natchitoches,22069,2
Orleans,22071,15
Ouachita,22073,9
Plaquemines,22075,1
Pointe Coupee,22077,1
Rapides,22079,7
Richland,22083,1
Sabine,22085,1
St. Bernard,22087,3
St. Charles,22089,3
St. James,22093,1
St. John the Baptist,22095,3
St. Landry,22097,4
St. Martin,22099,3
St. Mary,22101,5
St. Tammany,22103,16
Tangipahoa,22105,6
Terrebonne,22109,7
Union,22111,1
Vermilion,22113,2
Vernon,22115,2
Washington,22117,2
Webster,22119,2
West Baton Rouge,22121,3
West Carroll,22123,1
West Feliciana,22125,1
Winn,22127,1
Androscoggin,23001,4
Aroostook,23003,5
Cumberland,23005,14
Franklin,23007,2
Hancock,23009,2
Kennebec,23011,6
Knox,23013,2
Lincoln,23015,2
Oxford,23017,2
Penobscot,23019,9
Piscataquis,23021,1
Sagadahoc,23023,2
Somerset,23025,1
Waldo,23027,1
Washington,23029,2
York,23031,7
Allegany,24001,7
Anne Arundel,24003,28
Baltimore,24005,43
Calvert,24009,4
Caroline,24011,2
Carroll,24013,6
Cecil,24015,5
Charles,24017,8
Dorchester,24019,1
Frederick,24021,17
Garrett,24023,3
Harford,24025,12
Howard,24027,18
Kent,24029,1
Montgomery,24031,40
Prince George's,24033,46
Queen Anne's,24035,2
St. Mary's,24037,5
Somerset,24039,2
Talbot,24041,3
Washington,24043,12
Wicomico,24045,7
Worcester,24047,6
Baltimore City,24510,25
Barnstable,25001,6
Berkshire,25003,8
Bristol,25005,22
Essex,25009,30
Franklin,25011,2
Hampden,25013,26
Hampshire,25015,5
Middlesex,25017,46
Norfolk,25021,19
Plymouth,25023,19
Suffolk,25025,29
Worcester,25027,34
Allegan,26005,5
Alpena,26007,3
Antrim,26009,2
Arenac,26011,2
Barry,26015,2
Bay,26017,12
Benzie,26019,1
Berrien,26021,9
Branch,26023,3
Calhoun,26025,10
Cass,26027,3
Charlevoix,26029,3
Cheboygan,26031,2
Chippewa,26033,1
Clare,26035,2
Clinton,26037,4
Crawford,26039,1
Delta,26041,3
Dickinson,26043,2
Eaton,26045,8
Emmet,26047,1
Genesee,26049,33
Gladwin,26051,1
Gogebic,26053,1
Grand Traverse,26055,5
Gratiot,26057,3
Hillsdale,26059,2
Houghton,26061,1
Huron,26063,2
Ingham,26065,17
Ionia,26067,4
Iosco,26069,2
Iron,26071,1
Isabella,26073,5
Jackson,26075,10
Kalamazoo,26077,16
Kalkaska,26079,1
Kent,26081,30
Lapeer,26087,6
Lenawee,26091,6
Livingston,26093,9
Luce,26095,1
Mackinac,26097,1
Macomb,26099,44
Manistee,26101,1
Marquette,26103,4
Mason,26105,1
Mecosta,26107,1
Menominee,26109,1
Midland,26111,5
Missaukee,26113,1
Monroe,26115,7
Montcalm,26117,6
Muskegon,26121,11
Newaygo,26123,2
Oakland,26125,58
Oceana,26127,1
Ogemaw,26129,2
Osceola,26133,2
Oscoda,26135,1
Otsego,26137,1
Ottawa,26139,11
Presque Isle,26141,1
Roscommon,26143,3
Saginaw,26145,16
St. Clair,26147,10
St. Joseph,26149,4
Sanilac,26151,3
Shiawassee,26155,4
Tuscola,26157,3
Van Buren,26159,6
Washtenaw,26161,16
Wayne,26163,88
Wexford,26165,2
Aitkin,27001,1
Anoka,27003,14
Becker,27005,1
Beltrami,27007,2
Benton,27009,3
Blue Earth,27013,3
Brown,27015,1
Carlton,27017,1
Carver,27019,5
Chippewa,27023,1
Chisago,27025,3
Clay,27027,2
Cottonwood,27033,1
Crow Wing,27035,4
Dakota,27037,18
Douglas,27041,2
Faribault,27043,1
Freeborn,27047,3
Goodhue,27049,3
Hennepin,27053,43
Hubbard,27057,1
Isanti,27059,2
Itasca,27061,1
Kanabec,27065,1
Kandiyohi,27067,1
Koochiching,27071,1
Lake,27075,1
Lake of the Woods,27077,1
Le Sueur,27079,1
Lyon,27083,1
McLeod,27085,1
Martin,27091,1
Meeker,27093,1
Morrison,27097,1
Mower,27099,2
Nicollet,27103,1
Nobles,27105,1
Olmsted,27109,7
Otter Tail,27111,3
Pennington,27113,1
Pine,27115,2
Pipestone,27117,1
Polk,27119,2
Ramsey,27123,22
Redwood,27127,1
Rice,27131,2
Rock,27133,1
St. Louis,27137,9
Scott,27139,6
Sherburne,27141,5
Stearns,27145,8
Steele,27147,2
Stevens,27149,1
Wadena,27159,1
Waseca,27161,1
Washington,27163,6
Watonwan,27165,1
Winona,27169,3
Wright,27171,6
Adams,28001,3
Alcorn,28003,2
Attala,28007,1
Bolivar,28011,2
Chickasaw,28017,1
Clay,28025,1
Coahoma,28027,1
Copiah,28029,2
Covington,28031,1
DeSoto,28033,7
Forrest,28035,6
George,28039,1
Grenada,28043,2
Hancock,28045,2
Harrison,28047,14
Hinds,28049,13
Humphreys,28053,1
Itawamba,28057,1
Jackson,28059,8
Jones,28067,2
Lafayette,28071,2
Lamar,28073,3
Lauderdale,28075,5
Leake,28079,1
Lee,28081,6
Leflore,28083,2
Lincoln,28085,1
Lowndes,28087,2
Madison,28089,5
Marion,28091,1
Marshall,28093,1
Monroe,28095,2
Montgomery,28097,1
Neshoba,28099,1
Newton,28101,1
Noxubee,28103,1
Oktibbeha,28105,2
Panola,28107,3
Pearl River,28109,3
Pike,28113,3
Pontotoc,28115,1
Prentiss,28117,2
Rankin,28121,5
Scott,28123,2
Simpson,28127,1
Stone,28131,1
Sunflower,28133,1
Tallahatchie,28135,1
Tate,28137,1
Tippah,28139,1
Tishomingo,28141,1
Tunica,28143,1
Union,28145,1
Walthall,28147,1
Warren,28149,3
Washington,28151,3
Wayne,28153,1
Webster,28155,1
Winston,28159,1
Yazoo,28163,1
Adair,29001,2
Atchison,29005,1
Audrain,29007,1
Barry,29009,2
Barton,29011,1
Bates,29013,1
Benton,29015,1
Bollinger,29017,1
Boone,29019,8
Buchanan,29021,6
Butler,29023,3
Callaway,29027,3
Camden,29029,4
Cape Girardeau,29031,3
Carroll,29033,1
Carter,29035,1
Cass/Van Buren,29037,4
Cedar,29039,1
Christian,29043,2
Clay,29047,14
Cole,29051,5
Cooper,29053,1
Crawford,29055,1
Dallas,29059,1
DeKalb,29063,1
Dent,29065,1
Douglas,29067,1
Dunklin,29069,2
Franklin,29071,5
Gasconade,29073,1
Greene,29077,19
Grundy,29079,1
Harrison,29081,1
Henry/Rives,29083,1
Holt,29087,1
Howard,29089,1
Howell,29091,4
Iron,29093,1
Jackson,29095,38
Jasper,29097,7
Jefferson,29099,10
Johnson,29101,2
Laclede,29105,2
Lafayette,29107,5
Lawrence,29109,2
Lincoln,29113,1
Linn,29115,1
Livingston,29117,1
McDonald,29119,1
Macon,29121,1
Madison,29123,1
Marion,29127,1
Miller,29131,1
Mississippi,29133,1
Moniteau,29135,1
Montgomery,29139,1
Morgan,29141,1
New Madrid,29143,2
Newton,29145,3
Nodaway,29147,1
Oregon,29149,1
Osage,29151,1
Pemiscot,29155,1
Perry,29157,1
Pettis,29159,2
Phelps,29161,3
Pike,29163,1
Platte,29165,3
Polk,29167,1
Pulaski,29169,2
Randolph,29175,2
Ray,29177,1
Ripley,29181,1
St. Charles,29183,21
Ste. Genevieve,29186,1
St. Francois,29187,3
St. Louis,29189,50
Saline,29195,1
Scott,29201,2
Stoddard,29207,2
Stone,29209,1
Taney,29213,6
Texas,29215,1
Vernon,29217,1
Warren,29219,2
Washington,29221,1
Wayne,29223,1
Webster,29225,3
Wright,29229,1
St. Louis City,29510,9
Beaverhead,30001,1
Big Horn,30003,1
Cascade,30013,3
Custer,30017,1
Deer Lodge,30023,1
Fergus,30027,1
Flathead,30029,4
Gallatin,30031,5
Glacier,30035,1
Hill,30041,1
Lake,30047,2
Lewis and Clark,30049,2
Lincoln,30053,1
Missoula,30063,6
Park,30067,1
Powell,30077,1
Ravalli,30081,1
Richland,30083,1
Roosevelt,30085,1
Silver Bow,30093,2
Stillwater,30095,1
Valley,30105,1
Yellowstone,30111,8
Adams,31001,2
Box Butte,31013,1
Buffalo,31019,3
Cherry,31031,1
Cheyenne,31033,1
Cuming,31039,1
Custer,31041,1
Dakota,31043,1
Dawes,31045,1
Dawson,31047,2
Dodge,31053,1
Douglas,31055,21
Gage,31067,1
Hall,31079,2
Hamilton,31081,1
Holt,31089,1
Jefferson,31095,1
Keith,31101,1
Lancaster,31109,16
Lincoln,31111,2
Madison,31119,2
Otoe,31131,1
Phelps,31137,1
Platte,31141,1
Red Willow,31145,1
Sarpy,31153,8
Scotts Bluff,31157,3
Seward,31159,1
Valley,31175,1
Washington,31177,1
Wayne,31179,1
York,31185,1
Churchill,32001,2
Clark,32003,110
Douglas,32005,2
Elko,32007,4
Humboldt,32013,1
Lander,32015,1
Lyon,32019,2
Mineral,32021,1
Nye,32023,1
Pershing,32027,1
Washoe,32031,22
White Pine,32033,1
Carson City,32510,4
Belknap,33001,4
Carroll,33003,2
Cheshire,33005,2
Coos,33007,2
Grafton,33009,5
Hillsborough,33011,16
Merrimack,33013,7
Rockingham,33015,15
Strafford,33017,4
Sullivan,33019,2
Atlantic,34001,12
Bergen,34003,20
Burlington,34005,15
Camden,34007,15
Cape May,34009,6
Cumberland,34011,6
Essex,34013,18
Gloucester,34015,12
Hudson,34017,17
Hunterdon,34019,3
Mercer,34021,9
Middlesex,34023,21
Monmouth,34025,23
Morris,34027,16
Ocean,34029,21
Passaic,34031,10
Salem,34033,3
Somerset,34035,7
Sussex,34037,4
Union,34039,17
Warren,34041,5
Bernalillo,35001,34
Chaves,35005,3
Cibola,35006,2
Colfax,35007,1
Curry,35009,3
Dona Ana,35013,8
Eddy,35015,3
Grant,35017,1
Guadalupe,35019,1
Hidalgo,35023,1
Lea,35025,3
Lincoln,35027,1
Los Alamos,35028,1
Luna,35029,1
McKinley,35031,4
Otero,35035,3
Quay,35037,1
Roosevelt,35041,1
Sandoval,35043,6
San Juan,35045,5
San Miguel,35047,1
Santa Fe,35049,8
Sierra,35051,1
Socorro,35053,1
Taos,35055,1
Torrance,35057,1
Valencia,35061,4
Albany,36001,16
Allegany,36003,2
Bronx,36005,42
Broome,36007,11
Cattaraugus,36009,2
Cayuga,36011,3
Chautauqua,36013,6
Chemung,36015,5
Chenango,36017,1
Clinton,36019,4
Columbia,36021,2
Cortland,36023,2
Delaware,36025,4
Dutchess,36027,11
Erie,36029,42
Essex,36031,3
Franklin,36033,2
Fulton,36035,2
Genesee,36037,3
Greene,36039,2
Herkimer,36043,4
Jefferson,36045,5
Kings,36047,54
Lewis,36049,1
Livingston,36051,5
Madison,36053,4
Monroe,36055,30
Montgomery,36057,4
Nassau,36059,37
New York,36061,69
Niagara,36063,5
Oneida,36065,11
Onondaga,36067,20
Ontario,36069,5
Orange,36071,14
Orleans,36073,2
Oswego,36075,6
Otsego,36077,5
Putnam,36079,3
