"SUMLEV","REGION","DIVISION","STATE","COUNTY","STNAME","CTYNAME","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016"
50.00,3.00,6.00,1.00,93.00,"Alabama","Marion County",30776.00,30776.00,30798.00,30725.00,30520.00,30283.00,30250.00,30145.00,29998.00
50.00,3.00,6.00,1.00,95.00,"Alabama","Marshall County",93019.00,93019.00,93150.00,93885.00,94182.00,94318.00,94320.00,94693.00,95157.00
50.00,3.00,6.00,1.00,97.00,"Alabama","Mobile County",412992.00,413143.00,413369.00,413178.00,413760.00,413884.00,414342.00,414634.00,414836.00
50.00,3.00,6.00,1.00,99.00,"Alabama","Monroe County",23068.00,23070.00,22987.00,22795.00,22593.00,22154.00,21902.00,21697.00,21530.00
50.00,3.00,6.00,1.00,101.00,"Alabama","Montgomery County",229363.00,229385.00,229554.00,229174.00,228708.00,227841.00,227193.00,226868.00,226349.00
50.00,3.00,6.00,1.00,103.00,"Alabama","Morgan County",119490.00,119486.00,119610.00,119988.00,120123.00,119652.00,119602.00,119387.00,119012.00
50.00,3.00,6.00,1.00,105.00,"Alabama","Perry County",10591.00,10581.00,10543.00,10518.00,10184.00,9995.00,9842.00,9683.00,9574.00
50.00,3.00,6.00,1.00,107.00,"Alabama","Pickens County",19746.00,19746.00,19717.00,19366.00,19359.00,19370.00,20332.00,20827.00,20324.00
50.00,3.00,6.00,1.00,109.00,"Alabama","Pike County",32899.00,32899.00,32964.00,32999.00,33113.00,33592.00,33020.00,33376.00,33286.00
50.00,3.00,6.00,1.00,111.00,"Alabama","Randolph County",22913.00,22914.00,22893.00,22807.00,22623.00,22629.00,22468.00,22703.00,22652.00
50.00,3.00,6.00,1.00,113.00,"Alabama","Russell County",52947.00,52951.00,53305.00,54891.00,57626.00,59240.00,59282.00,58858.00,58172.00
50.00,3.00,6.00,1.00,117.00,"Alabama","Shelby County",195085.00,195218.00,196053.00,197975.00,200789.00,203825.00,205990.00,208527.00,210622.00
50.00,3.00,6.00,1.00,115.00,"Alabama","St. Clair County",83593.00,83593.00,83816.00,84351.00,85168.00,86225.00,86482.00,86986.00,88019.00
50.00,3.00,6.00,1.00,119.00,"Alabama","Sumter County",13763.00,13763.00,13742.00,13512.00,13448.00,13409.00,13283.00,13244.00,13040.00
50.00,3.00,6.00,1.00,121.00,"Alabama","Talladega County",82291.00,82291.00,82077.00,81847.00,81941.00,81277.00,81216.00,80749.00,80103.00
50.00,3.00,6.00,1.00,123.00,"Alabama","Tallapoosa County",41616.00,41618.00,41512.00,41459.00,41144.00,41139.00,41027.00,40755.00,40727.00
50.00,3.00,6.00,1.00,125.00,"Alabama","Tuscaloosa County",194656.00,194657.00,194996.00,196696.00,198581.00,200681.00,202671.00,204321.00,206102.00
50.00,3.00,6.00,1.00,127.00,"Alabama","Walker County",67023.00,67023.00,67006.00,66661.00,66211.00,65934.00,65564.00,65291.00,64967.00
50.00,3.00,6.00,1.00,129.00,"Alabama","Washington County",17581.00,17583.00,17612.00,17336.00,17115.00,16881.00,16891.00,16901.00,16756.00
50.00,3.00,6.00,1.00,131.00,"Alabama","Wilcox County",11670.00,11665.00,11562.00,11482.00,11355.00,11194.00,11028.00,11030.00,10986.00
50.00,3.00,6.00,1.00,133.00,"Alabama","Winston County",24484.00,24484.00,24402.00,24334.00,24171.00,24150.00,24083.00,23854.00,23805.00
50.00,4.00,9.00,2.00,13.00,"Alaska","Aleutians East Borough",3141.00,3141.00,3169.00,3251.00,3285.00,3302.00,3296.00,3317.00,3296.00
50.00,4.00,9.00,2.00,16.00,"Alaska","Aleutians West Census Area",5561.00,5561.00,5546.00,5586.00,5688.00,5715.00,5780.00,5739.00,5647.00
50.00,4.00,9.00,2.00,20.00,"Alaska","Anchorage Municipality",291826.00,291826.00,293415.00,296397.00,298527.00,301143.00,300429.00,298312.00,298192.00
50.00,4.00,9.00,2.00,50.00,"Alaska","Bethel Census Area",17013.00,17013.00,17078.00,17466.00,17695.00,17865.00,17959.00,17940.00,17968.00
50.00,4.00,9.00,2.00,60.00,"Alaska","Bristol Bay Borough",997.00,997.00,1003.00,1037.00,983.00,954.00,942.00,892.00,898.00
50.00,4.00,9.00,2.00,68.00,"Alaska","Denali Borough",1826.00,1822.00,1833.00,1875.00,1913.00,1940.00,1907.00,1913.00,1953.00
50.00,4.00,9.00,2.00,70.00,"Alaska","Dillingham Census Area",4847.00,4847.00,4855.00,4963.00,4963.00,4994.00,4989.00,4999.00,4954.00
50.00,4.00,9.00,2.00,90.00,"Alaska","Fairbanks North Star Borough",97581.00,97585.00,98293.00,98100.00,100330.00,100879.00,99295.00,99639.00,100605.00
50.00,4.00,9.00,2.00,100.00,"Alaska","Haines Borough",2508.00,2508.00,2500.00,2572.00,2572.00,2551.00,2537.00,2484.00,2496.00
50.00,4.00,9.00,2.00,105.00,"Alaska","Hoonah-Angoon Census Area",2150.00,2135.00,2135.00,2111.00,2131.00,2128.00,2081.00,2118.00,2078.00
50.00,4.00,9.00,2.00,110.00,"Alaska","Juneau City and Borough",31275.00,31275.00,31392.00,32175.00,32434.00,32604.00,32511.00,32603.00,32468.00
50.00,4.00,9.00,2.00,122.00,"Alaska","Kenai Peninsula Borough",55400.00,55400.00,55570.00,56369.00,56952.00,57059.00,57626.00,58044.00,58506.00
50.00,4.00,9.00,2.00,130.00,"Alaska","Ketchikan Gateway Borough",13477.00,13491.00,13539.00,13639.00,13711.00,13673.00,13758.00,13689.00,13746.00
50.00,4.00,9.00,2.00,150.00,"Alaska","Kodiak Island Borough",13592.00,13606.00,13652.00,13807.00,14051.00,14066.00,13953.00,13789.00,13732.00
50.00,4.00,9.00,2.00,158.00,"Alaska","Kusilvak Census Area",7459.00,7459.00,7464.00,7657.00,7792.00,7950.00,8063.00,8109.00,8049.00
50.00,4.00,9.00,2.00,164.00,"Alaska","Lake and Peninsula Borough",1631.00,1635.00,1638.00,1652.00,1644.00,1654.00,1628.00,1567.00,1562.00
50.00,4.00,9.00,2.00,170.00,"Alaska","Matanuska-Susitna Borough",88995.00,88995.00,89766.00,91831.00,93791.00,95923.00,98196.00,101120.00,104365.00
50.00,4.00,9.00,2.00,180.00,"Alaska","Nome Census Area",9492.00,9492.00,9536.00,9834.00,9873.00,9897.00,9834.00,9875.00,9917.00
50.00,4.00,9.00,2.00,185.00,"Alaska","North Slope Borough",9430.00,9430.00,9467.00,9536.00,9662.00,9741.00,9708.00,9690.00,9606.00
50.00,4.00,9.00,2.00,188.00,"Alaska","Northwest Arctic Borough",7523.00,7523.00,7542.00,7722.00,7721.00,7714.00,7744.00,7764.00,7673.00
50.00,4.00,9.00,2.00,195.00,"Alaska","Petersburg Borough",3815.00,3207.00,3217.00,3246.00,3263.00,3245.00,3175.00,3149.00,3149.00
50.00,4.00,9.00,2.00,198.00,"Alaska","Prince of Wales-Hyder Census Area",5559.00,6172.00,6212.00,6378.00,6375.00,6394.00,6393.00,6360.00,6347.00
50.00,4.00,9.00,2.00,220.00,"Alaska","Sitka City and Borough",8881.00,8881.00,8898.00,8907.00,9048.00,9001.00,8883.00,8844.00,8830.00
50.00,4.00,9.00,2.00,230.00,"Alaska","Skagway Municipality",968.00,968.00,965.00,958.00,990.00,1004.00,1031.00,1058.00,1088.00
50.00,4.00,9.00,2.00,240.00,"Alaska","Southeast Fairbanks Census Area",7029.00,7029.00,7071.00,7144.00,7179.00,7001.00,6968.00,6826.00,6876.00
50.00,4.00,9.00,2.00,261.00,"Alaska","Valdez-Cordova Census Area",9636.00,9636.00,9657.00,9737.00,9729.00,9764.00,9453.00,9308.00,9355.00
50.00,4.00,9.00,2.00,275.00,"Alaska","Wrangell City and Borough",2369.00,2365.00,2370.00,2381.00,2402.00,2417.00,2376.00,2400.00,2411.00
50.00,4.00,9.00,2.00,282.00,"Alaska","Yakutat City and Borough",662.00,662.00,661.00,654.00,657.00,643.00,642.00,620.00,601.00
50.00,4.00,9.00,2.00,290.00,"Alaska","Yukon-Koyukuk Census Area",5588.00,5588.00,5587.00,5728.00,5728.00,5658.00,5548.00,5541.00,5526.00
50.00,4.00,8.00,4.00,1.00,"Arizona","Apache County",71518.00,71516.00,71761.00,72391.00,72968.00,72021.00,72034.00,71594.00,73112.00
50.00,4.00,8.00,4.00,3.00,"Arizona","Cochise County",131346.00,131356.00,131807.00,132960.00,131843.00,129554.00,127321.00,126395.00,125770.00
50.00,4.00,8.00,4.00,5.00,"Arizona","Coconino County",134421.00,134437.00,134624.00,134186.00,135999.00,136641.00,137695.00,139076.00,140908.00
50.00,4.00,8.00,4.00,7.00,"Arizona","Gila County",53597.00,53597.00,53539.00,53486.00,53036.00,53039.00,53124.00,53138.00,53556.00
50.00,4.00,8.00,4.00,9.00,"Arizona","Graham County",37220.00,37220.00,37140.00,37083.00,36958.00,37401.00,38013.00,37673.00,37599.00
50.00,4.00,8.00,4.00,11.00,"Arizona","Greenlee County",8437.00,8437.00,8338.00,8585.00,8763.00,8905.00,9315.00,9525.00,9613.00
50.00,4.00,8.00,4.00,12.00,"Arizona","La Paz County",20489.00,20489.00,20449.00,20496.00,20365.00,20379.00,20313.00,20147.00,20317.00
50.00,4.00,8.00,4.00,13.00,"Arizona","Maricopa County",3817117.00,3817357.00,3825616.00,3870806.00,3942959.00,4011219.00,4083931.00,4161637.00,4242997.00
50.00,4.00,8.00,4.00,15.00,"Arizona","Mohave County",200186.00,200185.00,200378.00,202635.00,203126.00,202622.00,202985.00,204165.00,205249.00
50.00,4.00,8.00,4.00,17.00,"Arizona","Navajo County",107449.00,107489.00,107714.00,107435.00,107037.00,107443.00,108178.00,108363.00,110026.00
50.00,4.00,8.00,4.00,19.00,"Arizona","Pima County",980263.00,980263.00,981927.00,987816.00,992490.00,996634.00,1003157.00,1008205.00,1016206.00
50.00,4.00,8.00,4.00,21.00,"Arizona","Pinal County",375770.00,375770.00,379400.00,378007.00,382259.00,384978.00,396024.00,406220.00,418540.00
50.00,4.00,8.00,4.00,23.00,"Arizona","Santa Cruz County",47420.00,47420.00,47409.00,47600.00,47321.00,46903.00,46387.00,46137.00,45985.00
50.00,4.00,8.00,4.00,25.00,"Arizona","Yavapai County",211033.00,211015.00,211139.00,211138.00,212350.00,215027.00,218405.00,221584.00,225562.00
50.00,4.00,8.00,4.00,27.00,"Arizona","Yuma County",195751.00,195750.00,197071.00,202539.00,202160.00,201851.00,203111.00,203706.00,205631.00
50.00,3.00,7.00,5.00,1.00,"Arkansas","Arkansas County",19019.00,19018.00,19015.00,18880.00,18978.00,18777.00,18502.00,18373.00,18214.00
50.00,3.00,7.00,5.00,3.00,"Arkansas","Ashley County",21853.00,21853.00,21831.00,21656.00,21491.00,21234.00,20920.00,20810.00,20492.00
50.00,3.00,7.00,5.00,5.00,"Arkansas","Baxter County",41513.00,41513.00,41539.00,41280.00,41068.00,40962.00,40797.00,41070.00,41062.00
50.00,3.00,7.00,5.00,7.00,"Arkansas","Benton County",221339.00,221364.00,222566.00,228788.00,234243.00,238778.00,243991.00,250851.00,258291.00
50.00,3.00,7.00,5.00,9.00,"Arkansas","Boone County",36903.00,36903.00,36897.00,37055.00,37356.00,37412.00,37206.00,37229.00,37304.00
50.00,3.00,7.00,5.00,11.00,"Arkansas","Bradley County",11508.00,11508.00,11486.00,11445.00,11273.00,11133.00,11024.00,11053.00,10996.00
50.00,3.00,7.00,5.00,13.00,"Arkansas","Calhoun County",5368.00,5368.00,5337.00,5288.00,5306.00,5214.00,5175.00,5209.00,5144.00
50.00,3.00,7.00,5.00,15.00,"Arkansas","Carroll County",27446.00,27443.00,27540.00,27443.00,27574.00,27745.00,27742.00,27744.00,27646.00
50.00,3.00,7.00,5.00,17.00,"Arkansas","Chicot County",11800.00,11800.00,11793.00,11683.00,11473.00,11344.00,11196.00,10985.00,10945.00
50.00,3.00,7.00,5.00,19.00,"Arkansas","Clark County",22995.00,22993.00,22944.00,22943.00,22807.00,22650.00,22663.00,22642.00,22657.00
50.00,3.00,7.00,5.00,21.00,"Arkansas","Clay County",16083.00,16083.00,16050.00,15827.00,15568.00,15312.00,15143.00,15067.00,14920.00
50.00,3.00,7.00,5.00,23.00,"Arkansas","Cleburne County",25970.00,25969.00,25999.00,25942.00,25824.00,25710.00,25670.00,25469.00,25264.00
50.00,3.00,7.00,5.00,25.00,"Arkansas","Cleveland County",8689.00,8689.00,8686.00,8665.00,8615.00,8539.00,8410.00,8299.00,8241.00
50.00,3.00,7.00,5.00,27.00,"Arkansas","Columbia County",24552.00,24552.00,24747.00,24696.00,24429.00,24294.00,24078.00,24140.00,23901.00
50.00,3.00,7.00,5.00,29.00,"Arkansas","Conway County",21273.00,21267.00,21239.00,21146.00,21205.00,21145.00,21019.00,20994.00,20937.00
50.00,3.00,7.00,5.00,31.00,"Arkansas","Craighead County",96443.00,96443.00,96727.00,98371.00,99948.00,101654.00,102621.00,104362.00,105835.00
50.00,3.00,7.00,5.00,33.00,"Arkansas","Crawford County",61948.00,61948.00,61977.00,61829.00,61940.00,61696.00,61840.00,61894.00,62267.00
50.00,3.00,7.00,5.00,35.00,"Arkansas","Crittenden County",50902.00,50902.00,50947.00,50520.00,50065.00,49730.00,49538.00,48985.00,49235.00
50.00,3.00,7.00,5.00,37.00,"Arkansas","Cross County",17870.00,17866.00,17833.00,17746.00,17651.00,17492.00,17182.00,17282.00,17037.00
50.00,3.00,7.00,5.00,39.00,"Arkansas","Dallas County",8116.00,8116.00,8068.00,8078.00,7979.00,7922.00,7735.00,7583.00,7469.00
50.00,3.00,7.00,5.00,41.00,"Arkansas","Desha County",13008.00,13008.00,12964.00,12709.00,12575.00,12467.00,12245.00,12007.00,11876.00
50.00,3.00,7.00,5.00,43.00,"Arkansas","Drew County",18509.00,18509.00,18657.00,18721.00,18762.00,18682.00,18669.00,18675.00,18651.00
50.00,3.00,7.00,5.00,45.00,"Arkansas","Faulkner County",113237.00,113242.00,114065.00,116297.00,118534.00,119299.00,120683.00,121343.00,122227.00
50.00,3.00,7.00,5.00,47.00,"Arkansas","Franklin County",18125.00,18121.00,18124.00,18002.00,17957.00,17934.00,17767.00,17709.00,17626.00
50.00,3.00,7.00,5.00,49.00,"Arkansas","Fulton County",12245.00,12245.00,12216.00,12296.00,12246.00,12243.00,12130.00,12188.00,12123.00
50.00,3.00,7.00,5.00,51.00,"Arkansas","Garland County",96024.00,95995.00,96123.00,96617.00,96794.00,96986.00,97183.00,97154.00,97477.00
50.00,3.00,7.00,5.00,53.00,"Arkansas","Grant County",17853.00,17853.00,17891.00,17954.00,18026.00,18035.00,18059.00,18030.00,18082.00
50.00,3.00,7.00,5.00,55.00,"Arkansas","Greene County",42090.00,42090.00,42187.00,42732.00,43166.00,43078.00,43717.00,44167.00,44598.00
50.00,3.00,7.00,5.00,57.00,"Arkansas","Hempstead County",22609.00,22609.00,22600.00,22507.00,22346.00,22392.00,22289.00,22038.00,21974.00
50.00,3.00,7.00,5.00,59.00,"Arkansas","Hot Spring County",32923.00,33010.00,33212.00,33115.00,33457.00,33495.00,33389.00,33483.00,33374.00
50.00,3.00,7.00,5.00,61.00,"Arkansas","Howard County",13789.00,13789.00,13803.00,13821.00,13693.00,13527.00,13488.00,13350.00,13377.00
50.00,3.00,7.00,5.00,63.00,"Arkansas","Independence County",36647.00,36647.00,36805.00,36831.00,36925.00,36873.00,37113.00,37073.00,37168.00
50.00,3.00,7.00,5.00,65.00,"Arkansas","Izard County",13696.00,13696.00,13682.00,13579.00,13522.00,13386.00,13508.00,13454.00,13433.00
50.00,3.00,7.00,5.00,67.00,"Arkansas","Jackson County",17997.00,17998.00,18045.00,17854.00,17649.00,17690.00,17565.00,17350.00,17221.00
50.00,3.00,7.00,5.00,69.00,"Arkansas","Jefferson County",77435.00,77435.00,77321.00,76033.00,74618.00,73150.00,72376.00,71764.00,70016.00
50.00,3.00,7.00,5.00,71.00,"Arkansas","Johnson County",25540.00,25540.00,25552.00,25692.00,25911.00,25896.00,25998.00,26146.00,26176.00
50.00,3.00,7.00,5.00,73.00,"Arkansas","Lafayette County",7645.00,7645.00,7636.00,7540.00,7441.00,7245.00,7119.00,6981.00,6847.00
50.00,3.00,7.00,5.00,75.00,"Arkansas","Lawrence County",17415.00,17411.00,17498.00,17293.00,17047.00,17067.00,16987.00,16741.00,16735.00
50.00,3.00,7.00,5.00,77.00,"Arkansas","Lee County",10424.00,10424.00,10371.00,10277.00,10162.00,9991.00,9798.00,9645.00,9310.00
50.00,3.00,7.00,5.00,79.00,"Arkansas","Lincoln County",14134.00,14134.00,14072.00,14322.00,14139.00,14023.00,13967.00,13841.00,13705.00
50.00,3.00,7.00,5.00,81.00,"Arkansas","Little River County",13171.00,13168.00,13137.00,12965.00,12920.00,12739.00,12525.00,12445.00,12451.00
50.00,3.00,7.00,5.00,83.00,"Arkansas","Logan County",22353.00,22350.00,22313.00,22283.00,22018.00,22111.00,21959.00,21796.00,21792.00
50.00,3.00,7.00,5.00,85.00,"Arkansas","Lonoke County",68356.00,68354.00,68709.00,69447.00,70101.00,70807.00,71563.00,71697.00,72228.00
50.00,3.00,7.00,5.00,87.00,"Arkansas","Madison County",15717.00,15720.00,15694.00,15681.00,15619.00,15684.00,15714.00,15717.00,16072.00
50.00,3.00,7.00,5.00,89.00,"Arkansas","Marion County",16653.00,16651.00,16657.00,16655.00,16616.00,16446.00,16421.00,16214.00,16325.00
50.00,3.00,7.00,5.00,91.00,"Arkansas","Miller County",43462.00,43462.00,43541.00,43750.00,43649.00,43440.00,43556.00,43899.00,43787.00
50.00,3.00,7.00,5.00,93.00,"Arkansas","Mississippi County",46480.00,46480.00,46390.00,46036.00,45531.00,44687.00,44243.00,43699.00,42835.00
50.00,3.00,7.00,5.00,95.00,"Arkansas","Monroe County",8149.00,8150.00,8123.00,8070.00,7843.00,7670.00,7612.00,7415.00,7169.00
50.00,3.00,7.00,5.00,97.00,"Arkansas","Montgomery County",9487.00,9487.00,9490.00,9383.00,9320.00,9222.00,9107.00,8972.00,8879.00
50.00,3.00,7.00,5.00,99.00,"Arkansas","Nevada County",8997.00,8997.00,8974.00,9009.00,8911.00,8791.00,8689.00,8553.00,8398.00
50.00,3.00,7.00,5.00,101.00,"Arkansas","Newton County",8330.00,8330.00,8329.00,8278.00,8087.00,8078.00,7914.00,7923.00,7936.00
50.00,3.00,7.00,5.00,103.00,"Arkansas","Ouachita County",26120.00,26121.00,26077.00,25727.00,25405.00,24969.00,24799.00,24370.00,24098.00
50.00,3.00,7.00,5.00,105.00,"Arkansas","Perry County",10445.00,10441.00,10455.00,10392.00,10336.00,10337.00,10244.00,10182.00,10132.00
50.00,3.00,7.00,5.00,107.00,"Arkansas","Phillips County",21757.00,21757.00,21670.00,21413.00,20762.00,20437.00,19938.00,19534.00,18975.00
50.00,3.00,7.00,5.00,109.00,"Arkansas","Pike County",11291.00,11291.00,11273.00,11239.00,11270.00,11126.00,11002.00,10854.00,10832.00
50.00,3.00,7.00,5.00,111.00,"Arkansas","Poinsett County",24583.00,24583.00,24526.00,24446.00,24293.00,24156.00,24155.00,24028.00,24023.00
50.00,3.00,7.00,5.00,113.00,"Arkansas","Polk County",20662.00,20662.00,20669.00,20562.00,20440.00,20361.00,20252.00,20225.00,20173.00
50.00,3.00,7.00,5.00,115.00,"Arkansas","Pope County",61754.00,61754.00,62110.00,62646.00,62631.00,62538.00,63094.00,63492.00,63779.00
50.00,3.00,7.00,5.00,117.00,"Arkansas","Prairie County",8715.00,8715.00,8716.00,8578.00,8460.00,8364.00,8314.00,8280.00,8251.00
50.00,3.00,7.00,5.00,119.00,"Arkansas","Pulaski County",382748.00,382788.00,383623.00,386776.00,388905.00,391312.00,392633.00,392932.00,393250.00
50.00,3.00,7.00,5.00,121.00,"Arkansas","Randolph County",17969.00,17970.00,17967.00,17974.00,17854.00,17621.00,17540.00,17455.00,17448.00
50.00,3.00,7.00,5.00,125.00,"Arkansas","Saline County",107118.00,107141.00,107667.00,109901.00,111758.00,114287.00,115780.00,117358.00,118703.00
50.00,3.00,7.00,5.00,127.00,"Arkansas","Scott County",11233.00,11208.00,11246.00,11223.00,10986.00,10874.00,10659.00,10510.00,10277.00
50.00,3.00,7.00,5.00,129.00,"Arkansas","Searcy County",8195.00,8192.00,8176.00,8069.00,7988.00,7979.00,7908.00,7850.00,7967.00
